freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.393e+01,6.436e+02,2.290e+03,2.967e+03
1.5,5.705e+01,5.159e+02,1.625e+03,2.198e+03
3.0,4.894e+01,2.051e+02,3.885e+02,6.425e+02
4.5,4.930e+01,1.734e+02,9.640e+02,1.187e+03
5.9,8.366e+01,1.786e+02,2.503e+03,2.765e+03
7.4,8.972e+01,2.084e+02,3.559e+03,3.857e+03
8.9,6.058e+01,2.177e+02,4.776e+03,5.055e+03
10.4,4.709e+01,2.081e+02,5.833e+03,6.089e+03
11.9,4.845e+01,2.174e+02,7.021e+03,7.287e+03
13.4,4.789e+01,2.132e+02,9.050e+03,9.311e+03
14.8,4.398e+01,2.110e+02,1.195e+04,1.220e+04
16.3,4.842e+01,2.616e+02,1.612e+04,1.643e+04
17.8,5.487e+01,2.779e+02,2.154e+04,2.187e+04
19.3,4.743e+01,2.848e+02,2.629e+04,2.662e+04
20.8,4.623e+01,3.587e+02,2.996e+04,3.036e+04
22.3,5.306e+01,4.295e+02,3.314e+04,3.362e+04
23.7,5.169e+01,4.800e+02,3.441e+04,3.494e+04
25.2,5.736e+01,4.884e+02,3.682e+04,3.736e+04
26.7,6.409e+01,5.570e+02,4.426e+04,4.488e+04
28.2,6.391e+01,6.949e+02,5.232e+04,5.308e+04
29.7,6.261e+01,9.355e+02,6.292e+04,6.392e+04
31.2,5.974e+01,1.283e+03,7.849e+04,7.983e+04
32.7,6.524e+01,1.628e+03,9.640e+04,9.810e+04
34.1,7.400e+01,2.241e+03,1.227e+05,1.250e+05
35.6,8.313e+01,3.476e+03,1.671e+05,1.707e+05
37.1,1.038e+02,6.125e+03,2.396e+05,2.458e+05
38.6,1.455e+02,1.029e+04,3.677e+05,3.781e+05
40.1,1.942e+02,1.668e+04,5.764e+05,5.933e+05
41.6,3.099e+02,2.964e+04,9.480e+05,9.780e+05
43.0,5.762e+02,6.372e+04,1.643e+06,1.707e+06
44.5,1.705e+03,2.048e+05,3.685e+06,3.892e+06
46.0,5.277e+03,5.322e+05,7.301e+06,7.838e+06
47.5,7.831e+03,6.951e+05,7.964e+06,8.667e+06
49.0,7.393e+03,6.355e+05,6.355e+06,6.998e+06
50.5,6.394e+03,5.643e+05,4.984e+06,5.554e+06
52.0,5.267e+03,4.929e+05,3.894e+06,4.392e+06
53.4,4.529e+03,4.364e+05,3.039e+06,3.480e+06
54.9,5.366e+03,4.892e+05,2.961e+06,3.455e+06
56.4,5.185e+03,4.638e+05,2.460e+06,2.929e+06
57.9,4.498e+03,4.913e+05,2.313e+06,2.808e+06
59.4,4.041e+03,4.775e+05,2.158e+06,2.640e+06
60.9,4.909e+03,4.800e+05,2.120e+06,2.605e+06
